sigma,legs,seed,fix_mu,fitted,darts,mu_y
6.5,100,10,True,6.643049329642218,546,103.0
6.5,100,11,False,6.562590592172194,549,101.45403535357613
6.5,100,11,True,6.687426440281364,549,103.0
6.5,200,0,False,6.673077709633956,1104,104.45204759970102
6.5,200,0,True,6.701344688910494,1104,103.0
6.5,200,1,False,6.185390481786185,1086,100.88852149538369
6.5,200,1,True,6.412202327396364,1086,103.0
6.5,200,2,False,6.333908105068237,1056,103.38522512979574
6.5,200,2,True,6.341086773997475,1056,103.0
6.5,200,3,False,6.2863568104757634,1041,100.8895327067208
6.5,200,3,True,6.5133989261417184,1041,103.0
6.5,200,4,False,6.553857306773363,1092,102.97737361222116
6.5,200,4,True,6.557843026345273,1092,103.0
6.5,200,5,False,6.580047121358802,1074,103.2598017046863
6.5,200,5,True,6.5937694576401915,1074,103.0
6.5,200,6,False,6.5295557675410585,1116,104.63662497902729
6.5,200,6,True,6.5701756538405744,1116,103.0
6.5,200,7,False,6.471090862892697,1080,102.88808281116832
6.5,200,7,True,6.540906935022276,1080,103.0
6.5,200,8,False,6.458136810637162,1101,105.34180185476487
6.5,200,8,True,6.5785836375558775,1101,103.0
6.5,200,9,False,6.273255769423195,1065,105.21217059269617
6.5,200,9,True,6.442977413504904,1065,103.0
6.5,200,10,False,6.194768408583424,1086,101.19416258399332
6.5,200,10,True,6.369047357860079,1086,103.0
6.5,200,11,False,6.792550305339146,1092,102.8040147334658
6.5,200,11,True,6.800028884223782,1092,103.0
6.5,400,0,False,6.337018373865659,2136,102.64485676645359
6.5,400,0,True,6.359745146080346,2136,103.0
6.5,400,1,False,6.556616818123961,2124,102.50475919032272
6.5,400,1,True,6.579883907732099,2124,103.0
6.5,400,2,False,6.384926025590804,2136,102.66956246023113
6.5,400,2,True,6.4159714191489785,2136,103.0
6.5,400,3,False,6.3779924110703154,2142,101.45158791312096
6.5,400,3,True,6.507394486440669,2142,103.0
6.5,400,4,False,6.184075566338803,2133,100.78539238365528
6.5,400,4,True,6.434985789237504,2133,103.0
6.5,400,5,False,6.455052203233596,2142,102.16453379273
6.5,400,5,True,6.527092573762579,2142,103.0
6.5,400,6,False,6.497842707245338,2184,103.58535210005348
6.5,400,6,True,6.5076002612789265,2184,103.0
6.5,400,7,False,6.171835150070817,2151,105.75440045597462
6.5,400,7,True,6.426016232006897,2151,103.0
6.5,400,8,False,6.401951476592522,2112,103.10171215289238
6.5,400,8,True,6.402117249954667,2112,103.0
6.5,400,9,False,6.493694641328707,2127,101.82794458855457
6.5,400,9,True,6.575059753106141,2127,103.0
6.5,400,10,False,6.511937169771155,2151,102.69034219636117
6.5,400,10,True,6.524518883716114,2151,103.0
6.5,400,11,False,6.247591671430054,2145,101.2442576187677
6.5,400,11,True,6.420707048467109,2145,103.0
8.0,25,0,False,8.371188039923029,156,101.55268200395267
8.0,25,0,True,8.498783493842291,156,103.0
8.0,25,1,False,7.5195859603046555,153,102.37279755125708
8.0,25,1,True,7.581997386170561,153,103.0
8.0,25,2,False,7.376187836833574,156,107.6589699367486
8.0,25,2,True,7.625905379668877,156,103.0
8.0,25,3,False,7.852420748403905,153,107.8998424081855
8.0,25,3,True,8.078776268385742,153,103.0
8.0,25,4,False,7.443258062046256,156,100.99982694151015
8.0,25,4,True,7.620274156011016,156,103.0
8.0,25,5,False,8.375851248801698,153,106.0659993999896
8.0,25,5,True,8.40691856979556,153,103.0
8.0,25,6,False,8.16870436842971,159,101.10513932385062
8.0,25,6,True,8.326644956857255,159,103.0
8.0,25,7,False,3.7067915235339073,141,107.98178732486724
8.0,25,7,True,7.58872007529955,141,103.0
8.0,25,8,False,6.7696991034736556,153,98.87190662731076
8.0,25,8,True,7.505188998782459,153,103.0
8.0,25,9,False,7.373742915591786,153,103.96654621767115
8.0,25,9,True,7.374558981846092,153,103.0
8.0,25,10,False,6.786173046297239,144,104.77161482085751
