state,value
465,-34.800449395277866
466,-34.858369078110165
467,-34.916583676007726
468,-34.97445701493049
469,-35.03272038732394
470,-35.09060624374747
471,-35.14870895068814
472,-35.20686840004145
473,-35.26471857599365
474,-35.32297767899114
475,-35.380872897463234
476,-35.43904371230789
477,-35.49703235079954
478,-35.55507915283596
479,-35.61324353132904
480,-35.67110235707162
481,-35.72937745951787
482,-35.78726329570458
483,-35.84538066228512
484,-35.90347027575956
485,-35.96142321156197
486,-36.019607107221866
487,-36.07750951325292
488,-36.13573502241278
489,-36.19365447226939
490,-36.2517458771809
491,-36.309884283342186
492,-36.36777714312761
493,-36.42599452580375
494,-36.483919784211565
495,-36.542071477334915
496,-36.60006872254823
497,-36.65811828692105
498,-36.71626394649897
499,-36.774157773372075
500,-36.8323887212371
501,-36.890311241292096
