source,player,model,n,t20_lift_12,t20_lift_23,t20_lift_13,treble_lift_12,dir_corr,mag_corr,switch_rate,p_t20,p_k0,p_k1,p_k2,p_k3
dartsviz_pdc_2017,Phil Taylor,A gaussian iid,15000,0.15656432011281196,1.3138058055251922,0.6041169498790411,0.15656432011281196,-0.003579573194074753,-0.002199488267962192,0.0,0.35775555555555555,0.268,0.4382,0.24633333333333332,0.047466666666666664
dartsviz_pdc_2017,Phil Taylor,B + aim rule,15000,2.345123606829386,10.455214106589445,2.343272342767502,-0.00016072690077195695,0.004305377061000652,-0.004762519564504025,0.1725,0.3011333333333333,0.26613333333333333,0.43833333333333335,0.24826666666666666,0.047266666666666665
dartsviz_pdc_2017,Phil Taylor,C + wide tail,15000,2.9487539645388194,12.057593118533742,0.7842274650225523,0.8989657008310947,0.007277031152321534,-0.006582028708071969,0.17903333333333332,0.3512888888888889,0.19793333333333332,0.4214,0.3051333333333333,0.07553333333333333
dartsviz_pdc_2017,Phil Taylor,D + shared offset,15000,3.983731025705617,12.82765295760345,2.455406231794688,1.6223476271782167,0.027646723628273855,0.03743450771525348,0.17833333333333334,0.3529333333333333,0.19853333333333334,0.4172666666666667,0.3038,0.0804
dartsviz_pdc_2017,Phil Taylor,E + shared scale,15000,6.259562954428105,14.479089671270179,4.488749221670235,3.999302528258247,0.015675086428197753,0.03348349001269229,0.1787,0.3525333333333333,0.2122,0.4030666666666667,0.29793333333333333,0.0868
dartsviz_pdc_2017,Dave Chisnall,OBSERVED,299,31.780538302277435,28.486964618249534,22.049689440993784,21.325051759834366,0.03302388823216016,-0.028761652262073775,0.1688963210702341,0.40022296544035674,0.20735785953177258,0.3110367892976589,0.35451505016722407,0.12709030100334448
dartsviz_pdc_2017,Dave Chisnall,A gaussian iid,15000,-0.06694491727067264,1.031861183853544,1.2375559752562826,-0.06694491727067264,-0.0050716005497914215,-0.005195759871148794,0.0,0.31806666666666666,0.3202,0.4392666666666667,0.20666666666666667,0.03386666666666667
dartsviz_pdc_2017,Dave Chisnall,B + aim rule,15000,6.137041241029739,13.470285950392597,6.8758438463773714,-0.8658098703046291,0.0012403159900317479,-0.004767865198853582,0.22983333333333333,0.20708888888888888,0.40326666666666666,0.427,0.15026666666666666,0.019466666666666667
dartsviz_pdc_2017,Dave Chisnall,C + wide tail,15000,10.724738222732894,19.0750850074953,8.035107782137723,0.43190074477088003,-0.007894771675741954,-0.003916094583134092,0.21333333333333335,0.31304444444444446,0.23733333333333334,0.43233333333333335,0.2722,0.058133333333333335
dartsviz_pdc_2017,Dave Chisnall,D + shared offset,15000,21.731858131214203,29.162671916091625,18.22291223695046,11.55414244186046,0.010639987181338816,0.030310081481846222,0.20446666666666666,0.35717777777777776,0.24073333333333333,0.3518,0.29746666666666666,0.11
dartsviz_pdc_2017,Dave Chisnall,E + shared scale,15000,23.805628581068717,31.056815490501926,20.515361250981012,13.339550578530707,0.001334705313803904,0.08042004860229492,0.19206666666666666,0.3645555555555556,0.2398,0.35433333333333333,0.28113333333333335,0.12473333333333333
dartsviz_pdc_2017,Gerwyn Price,OBSERVED,279,24.03940886699507,16.262626262626263,11.87192118226601,10.82101806239737,-0.0124787330580253,0.056270822014386074,0.22580645161290322,0.3333333333333333,0.2078853046594982,0.3870967741935484,0.34408602150537637,0.06093189964157706
dartsviz_pdc_2017,Gerwyn Price,A gaussian iid,15000,-1.3130707320848174,1.2652098693008318,0.6964866119795687,-1.3130707320848174,-0.001330949705027135,-0.003738033786155121,6.666666666666667e-05,0.24453333333333332,0.4321333333333333,0.417,0.136,0.014866666666666667
dartsviz_pdc_2017,Gerwyn Price,B + aim rule,15000,4.3453146139936285,11.543855190142088,3.8976862040797866,-0.7781742899202526,-0.006380773752075851,-0.0040314090699259605,0.21506666666666666,0.18526666666666666,0.4557333333333333,0.4076,0.12426666666666666,0.0124
dartsviz_pdc_2017,Gerwyn Price,C + wide tail,15000,9.335983559187216,17.42668513891817,7.269430015968751,0.6944537519822436,-0.00990264356071851,1.3246014585053619e-05,0.18776666666666667,0.33113333333333334,0.22446666666666668,0.42673333333333335,0.2848,0.064
dartsviz_pdc_2017,Gerwyn Price,D + shared offset,15000,13.726222770699215,21.24499979358483,10.851726649772953,5.014600243400419,0.007344823332555709,0.01650569883732492,0.18686666666666665,0.3355111111111111,0.23626666666666668,0.4046,0.2809333333333333,0.0782
dartsviz_pdc_2017,Gerwyn Price,E + shared scale,15000,9.99744901189446,17.671626415946395,6.980649620431656,0.6951574891129242,0.0008216714325082387,0.004549846403571598,0.18993333333333334,0.3310222222222222,0.2228,0.4256666666666667,0.28786666666666666,0.06366666666666666
dartsviz_pdc_2017,James Wade,OBSERVED,272,10.500155327741535,6.9352869352869355,5.020192606399504,1.919850885368124,0.061819493108952045,0.04701065385827896,0.17279411764705882,0.30514705882352944,0.27205882352941174,0.4375,0.2426470588235294,0.04779411764705882
