source,player,model,n_train,n_test,n_params,train_ll,test_ll,test_ll_per_visit,bic,sigma,bias_x,tau,nu,eps,kappa,s_hit,s_miss,seconds,nfev
dartsviz_pdc_2017,Jelle Klaasen,C + wide tail,266,267,6,-1324.5269939127343,-1349.914512113358,-5.05585959593018,2682.5549656781586,7.950818430670845,-0.39229934264266975,0.0,0.0,0.15077955307912674,4.050493086180406,0.05674664537140174,0.45870894457933886,2.924114227294922,246
dartsviz_pdc_2017,Jelle Klaasen,D + shared offset,266,267,7,-1323.8499900438073,-1347.2210953733866,-5.045771892784219,2686.7844542490866,6.893678936879539,-0.28135064912639446,4.041932743980567,0.0,0.14766011811090066,4.701182288485835,0.0567266350749221,0.45868141803219714,19.903200149536133,388
dartsviz_pdc_2017,Jelle Klaasen,E + shared scale,266,267,7,-1320.367719594606,-1339.1473351139625,-5.015533090314467,2679.8199133506837,7.794724484489045,-0.5106455082148929,0.0,0.2842838182238077,0.18038018682958085,3.573023018575421,0.05651744828733266,0.45783217955230937,29.743409395217896,371
dartsviz_pdc_2017,Adrian Lewis,A gaussian iid,267,264,2,-57398.75570299811,-65593.96580820529,-248.46199169774732,114808.68590331302,10.698939036218716,1.0241313438673387,0.0,0.0,0.0,1.0,0.0,0.0,0.0654609203338623,64
dartsviz_pdc_2017,Adrian Lewis,B + aim rule,267,264,4,-2596.2236946848193,-2627.6932675809026,-9.9533835893216,5214.79638400324,10.548009853344942,1.1623102050197889,0.0,0.0,0.0,1.0,0.025122311986689752,0.2778142331379925,0.15195894241333008,140
dartsviz_pdc_2017,Adrian Lewis,C + wide tail,267,264,6,-1151.7721286938004,-1150.1852502015745,-4.3567623113696,2337.067749338002,6.743454547484164,3.3027744221881217,0.0,0.0,0.1342692866197715,4.3161608576509956,0.025121026363062123,0.2746427883788722,2.842602491378784,281
dartsviz_pdc_2017,Adrian Lewis,D + shared offset,267,264,7,-1150.1045391859543,-1150.553167141606,-4.358155936142447,2339.3198189807104,4.660048208723945,2.768914572046537,4.69813119899933,0.0,0.15113319867381284,6.059321179342965,0.025123431928649582,0.2746299740128333,33.26489877700806,669
dartsviz_pdc_2017,Adrian Lewis,E + shared scale,267,264,7,-1141.4915904828144,-1139.6500300987846,-4.316856174616608,2322.0939215744306,7.016888375302878,2.6630602529971474,0.0,0.34873714247444604,0.15788211947291264,3.349674528789088,0.02510163544565078,0.2746410407252698,27.68287682533264,302
dartsviz_pdc_2017,Alan Norris,A gaussian iid,234,234,2,-35662.06648599866,-37668.903993073116,-160.97822219262017,71335.04361422802,19.328513348279536,-1.6675333903280605,0.0,0.0,0.0,1.0,0.0,0.0,0.06826996803283691,71
dartsviz_pdc_2017,Alan Norris,B + aim rule,234,234,4,-1493.1553262786938,-1407.3288656693903,-6.014225921664061,3008.1319370188185,19.250340385840833,-1.7663114863632494,0.0,0.0,0.0,1.0,1.4213260364030023e-12,0.1948522106315407,0.538184404373169,533
dartsviz_pdc_2017,Alan Norris,C + wide tail,234,234,6,-1145.792246701526,-1069.2985242128404,-4.569651812875387,2324.3164200951983,6.5307072181633945,-5.570218548503847,0.0,0.0,0.16331873463863952,7.5408132868484445,1.182337465705885e-15,0.1821144409131095,6.86803674697876,1109
dartsviz_pdc_2017,Alan Norris,D + shared offset,234,234,7,-1145.4296005979327,-1069.7030053914837,-4.57138036492087,2329.046449003369,5.616144435632681,-5.417434859430417,3.381660769024086,0.0,0.16442458815107888,8.736943771066404,5.682907249877347e-15,0.1821555927261955,67.42007422447205,1503
dartsviz_pdc_2017,Alan Norris,E + shared scale,234,234,7,-1104.2905014268147,-1030.1580204014676,-4.402384702570375,2246.768250661133,12.151956275974193,-2.8133651056013167,0.0,0.8045680896273428,0.08799532192953023,3.6822213436472757,1.806160157143607e-07,0.18534713237032627,59.78264617919922,694
dartsviz_pdc_2017,Kim Huybrechts,A gaussian iid,232,225,2,-70303.60289998732,-67183.59856891804,-298.5937714174135,140618.09927471797,10.927655743651064,0.3325097125780303,0.0,0.0,0.0,1.0,0.0,0.0,0.06396484375,66
dartsviz_pdc_2017,Kim Huybrechts,B + aim rule,232,225,4,-1767.2759707799341,-3467.1383385536174,-15.409503726904966,3556.3388910465337,11.409029623599267,0.6538850257711284,0.0,0.0,0.0,1.0,0.005913554421219161,0.39855019787819584,0.18353629112243652,177
dartsviz_pdc_2017,Kim Huybrechts,C + wide tail,232,225,6,-927.2569923740649,-1029.562306559186,-4.575832473596383,1887.1944089781277,8.355076085239599,0.561683558994371,0.0,0.0,0.015928776225618065,8134961.838042433,0.005416008129219863,0.4032161556188125,11.215314865112305,907
dartsviz_pdc_2017,Kim Huybrechts,D + shared offset,232,225,7,-927.2569923740591,-1029.562295871171,-4.5758324260940935,1892.6411463497825,8.355076137679461,0.5616841923381006,9.841329469424663e-06,0.0,0.015928782912561,6485921770737.129,0.005416012808025014,0.4032161123980434,56.34134364128113,1127
dartsviz_pdc_2017,Kim Huybrechts,E + shared scale,232,225,7,-925.9730695459707,-1021.9381464069156,-4.54194731736407,1890.0733006936057,8.274487662236618,0.6597549847619534,0.0,0.1959383508331846,0.015872141463197546,24058887.082223654,0.005384555756372836,0.40321333679271154,113.94046568870544,1361
dartsviz_pdc_2017,Joe Cullen,A gaussian iid,223,222,2,-71871.58102481975,-68411.32044615276,-308.1591011087962,143753.9763931824,17.415417165379846,1.1922944140374323,0.0,0.0,0.0,1.0,0.0,0.0,0.06757235527038574,71
dartsviz_pdc_2017,Joe Cullen,B + aim rule,223,222,4,-2086.9876518602186,-2013.587609618609,-9.070214457741482,4195.603990806278,17.2194756021809,1.1288830503388891,0.0,0.0,0.0,1.0,0.02739013409570986,0.42275856797349726,0.22706341743469238,236
dartsviz_pdc_2017,Joe Cullen,C + wide tail,223,222,6,-1048.572419216427,-995.8501301864155,-4.485811397236106,2129.587869061615,8.297863120957865,0.6414692585174233,0.0,0.0,0.06169234271229532,9159640.386150613,0.026065817999152776,0.4015692288471026,10.45853066444397,883
dartsviz_pdc_2017,Joe Cullen,D + shared offset,223,222,7,-1047.0375292000263,-992.9755337427699,-4.472862764607072,2131.9252608002735,6.695609438807872,0.7013810758967202,4.847331829658239,0.0,0.06306955828509148,10750900.313480036,0.026002525864664342,0.40180524107924526,70.91262817382812,1387
dartsviz_pdc_2017,Joe Cullen,E + shared scale,223,222,7,-1042.963277563388,-996.6018613256588,-4.489197573539004,2123.776757526997,11.392682152209604,0.8726041013496686,0.0,0.7229251783534332,0.02370842878083594,20719456.205677554,0.026668932778333283,0.41983694596181315,112.0913953781128,1322
