design,k,n,band,sigma_true,sigma_hat,aim_error_mm
best 2,2,100,league,16.0,16.060601047702033,2.565807068734085
best 2,2,100,league,16.0,16.04202851189926,1.3571457558294546
best 2,2,100,league,16.0,15.735356640061475,2.6355940507179403
best 2,2,100,league,16.0,14.791588979526495,2.5498478795535995
best 2,2,100,league,16.0,15.107565977122343,4.689287122557376
best 2,2,100,league,16.0,18.224736892844682,3.015526491703073
best 2,2,100,league,16.0,18.498503979188325,3.048576201248158
best 2,2,100,league,16.0,14.977356093849458,4.681093378822193
best 2,2,100,league,16.0,14.262266310084307,4.375720818517456
best 2,2,100,league,16.0,16.343655700236877,1.7074079637691262
best 2,2,100,league,16.0,18.157373484311133,2.8868081852032432
best 2,2,100,league,16.0,15.511532746151484,2.4956605484539667
best 2,2,100,league,16.0,17.408207938669037,2.9632924365344198
best 2,2,100,league,16.0,17.43229222940799,2.9290656246539344
best 2,2,100,league,16.0,16.89189632422656,1.27696130622597
best 2,2,100,league,16.0,17.478235500287177,3.498918029125127
best 2,2,100,league,16.0,17.740895877515996,2.5163564557926827
best 2,2,100,league,16.0,15.725756703353145,2.6360576232960353
best 2,2,100,league,16.0,15.911873127477502,2.041717617927703
best 2,2,100,league,16.0,15.21198437089066,4.648136742563126
best 2,2,100,league,16.0,14.68581706762044,4.942274528894634
best 2,2,100,league,16.0,16.648139879554996,1.856169158018841
best 2,2,100,league,16.0,16.068213545931844,4.36420163973992
best 2,2,100,league,16.0,17.475285460744225,1.728872683642706
best 2,2,100,league,16.0,15.39249420932764,3.5393126577036256
best 2,2,100,league,16.0,14.656345044300712,0.1313045618885224
best 2,2,100,league,16.0,15.633617306966517,8.023758176428867
best 2,2,100,league,16.0,15.312334240849612,1.3691519017525557
best 2,2,100,league,16.0,16.49914207640232,1.5672721674513412
best 2,2,100,league,16.0,17.046300012838618,5.44733889374816
best 2,2,100,league,16.0,13.68615348128459,1.8731947813854646
