state,value
267,-19.56371469186054
268,-19.630309082044615
269,-19.697917767829846
270,-19.764676041240577
271,-19.831638424332045
272,-19.899027396516235
273,-19.9657506996581
274,-20.03306710408016
275,-20.099886102690927
276,-20.16721491778458
277,-20.23409858579687
278,-20.301141376369102
279,-20.36847491795269
280,-20.43510152223481
281,-20.50253451205164
282,-20.569407977301847
283,-20.63648701552905
284,-20.703588542603793
285,-20.770591811869053
286,-20.837825518154688
287,-20.9045395521862
288,-20.971983547859104
289,-21.03883720379335
290,-21.105838102832728
291,-21.173104056465185
292,-21.23995689917271
293,-21.307190374035258
294,-21.374057389071616
295,-21.441339298744996
296,-21.50825676151258
297,-21.575295038930893
298,-21.642557901574
299,-21.70932646498275
300,-21.77662947583169
301,-21.8435555488062
302,-21.910661005517053
303,-21.977718584565704
304,-22.044743106353476
305,-22.111940969356695
306,-22.178748104242363
307,-22.246073284673066
308,-22.312992784179617
309,-22.380022020413367
310,-22.447205199302918
311,-22.514138285503027
312,-22.581319923014767
313,-22.648227572856918
314,-22.71546214767766
315,-22.78241316482811
316,-22.849453612769878
317,-22.91665814023945
318,-22.983524506686603
319,-23.050744129848407
320,-23.117705261529494
321,-23.184819426415096
322,-23.251857783439306
323,-23.318894524374567
324,-23.38606147618529
325,-23.452939550099824
326,-23.52018100988013
327,-23.58714490888804
328,-23.65419329308757
329,-23.72132313101294
330,-23.788305520108935
331,-23.855453172508536
332,-23.922394813339555
333,-23.989587630872254
334,-24.056567194062218
335,-24.123612301672637
336,-24.190771767614297
337,-24.2577045253762
338,-24.324870645875524
339,-24.39185615312048
340,-24.45896917979984
341,-24.526001829141627
342,-24.593046057040905
343,-24.660187005547268
344,-24.727118053751685
345,-24.79430150810135
346,-24.861295050160635
347,-24.92835531283085
348,-24.995452179181292
349,-25.062464684022245
350,-25.129588945333296
351,-25.196558500025247
352,-25.2637170910765
353,-25.330719056681257
354,-25.397769137772578
355,-25.464895463616305
356,-25.531872673848625
357,-25.59900427520653
358,-25.666007469239858
359,-25.733114559197414
360,-25.80014818488505
361,-25.86719733752473
362,-25.934317131270927
363,-26.001287005164656
364,-26.068430777338005
365,-26.13544410583783
366,-26.2025109679503
367,-26.26958834744126
368,-26.33661919299583
369,-26.40372667580812
370,-26.47071869296107
371,-26.53785053289327
372,-26.604869224841874
373,-26.671923602156102
374,-26.73902650199848
375,-26.806033102084086
376,-26.873142184376533
377,-26.940158688968626
378,-27.007258083481624
379,-27.074295462181723
380,-27.14134806229127
381,-27.20845121409572
382,-27.27544904768987
383,-27.342565914342334
384,-27.409592573752
385,-27.476662460837076
386,-27.543728933579306
387,-27.610770957333283
388,-27.67786605646506
389,-27.744875773314263
390,-27.811987397699006
391,-27.879018181831025
392,-27.946075839723203
393,-28.013162742418444
394,-28.080188557960465
395,-28.147282719072845
396,-28.214309491145563
397,-28.281401134492434
398,-28.348442965614133
399,-28.415498073793724
400,-28.482588540302974
401,-28.54960618300357
402,-28.61670490313722
403,-28.683740705251893
404,-28.750811369174272
405,-28.81787217268615
406,-28.8849210446028
407,-28.952006867351706
408,-29.019030246115342
409,-29.086126968738295
410,-29.15316632424444
411,-29.22022625058229
412,-29.28730257111727
413,-29.354340831962457
414,-29.421424924555133
415,-29.488459711964847
416,-29.55554439224325
417,-29.62259039089181
418,-29.689647345774997
419,-29.756728418123362
420,-29.823759888236154
421,-29.89084639352114
422,-29.95788861158098
423,-30.02495876209037
424,-30.09201695115839
425,-30.159070058423232
426,-30.22614890746927
427,-30.293182627981466
428,-30.360268570323637
429,-30.427313940395262
430,-30.49437528021737
431,-30.56144481406039
432,-30.628491075023273
433,-30.69556824542894
434,-30.76260930111296
435,-30.82968813244908
436,-30.896737636977928
437,-30.96379593850046
438,-31.030870235153294
439,-31.097911228687032
440,-31.16498950330817
441,-31.232036334005784
442,-31.299105328744186
443,-31.366162590080943
444,-31.433218350574933
445,-31.500291979425636
446,-31.56733338819111
447,-31.63441164256263
448,-31.70146122326789
449,-31.768523325028365
450,-31.835588643929643
451,-31.90264001980575
452,-31.969712349414788
453,-32.0367582815282
454,-32.10383241559242
455,-32.17088469717974
456,-32.23794395513115
457,-32.30501348282884
458,-32.37206095767893
459,-32.43913366570448
460,-32.50618388524001
461,-32.57325149230249
462,-32.64030868942098
463,-32.70736613581139
464,-32.77443589318643
465,-32.841482923457335
466,-32.90855575338039
467,-32.9756082935296
468,-33.04267070033685
469,-33.10973349307938
470,-33.17678812847621
471,-33.24385702577154
472,-33.310906715257815
473,-33.3779771968759
474,-33.44503159781587
475,-33.512091507412194
476,-33.57915775385116
477,-33.64620959125519
478,-33.71327850893038
479,-33.780331255022666
480,-33.84739747711263
481,-33.91445499390686
482,-33.981513518133596
483,-34.04858043030847
484,-34.11563149765054
485,-34.182700515515585
486,-34.24975513799762
487,-34.31681753756903
488,-34.383878859926554
489,-34.4509355472517
490,-34.51800196262748
491,-34.585054455564
492,-34.65212202634857
493,-34.71917782159197
494,-34.78623790852136
495,-34.85330164855199
496,-34.92035605797778
497,-34.98742199880818
498,-35.05447621254555
499,-35.12154062295701
500,-35.18859790466016
501,-35.25565636506881
